기관코드,전체기관명,최하위기관명,차수,서열,소속기관차수,차상위기관코드,최상위기관코드,대표기관코드,유형분류_대,유형분류_중,유형분류_소,우편번호,행정동코드,소재지코드,나머지주소,지번,전화번호,팩스번호,생성일자,폐지일자,변경일자,존폐여부,이전기관코드
1490044,노동부 고용정책실 직업능력개발심의관,직업능력개발심의관,3.0,,0.0,1490025,1490000,1490000,,,,,,,,,,,,20050909.0,20050908.0,1,
1490045,노동부 산업재해보상보험심사관,산업재해보상보험심사관,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490046,노동부 고용보험심사위원회 사무국,사무국,3.0,,0.0,1490803,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490047,노동부 노정국,노정국,2.0,3.0,0.0,1490000,1490000,1490000,1.0,4.0,05,,,4129010700,,000010000,503-9728,503-6233,,20020527.0,20020530.0,1,
1490048,노동부 노정국 노정과,노정과,3.0,2.0,0.0,1490047,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9730,503-9556,,20020527.0,20020530.0,1,
1490049,노동부 노정국 노동조합과,노동조합과,3.0,2.0,0.0,1490047,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9734,503-9556,,20020527.0,20020530.0,1,
1490050,노동부 노정국 노사협의과,노사협의과,3.0,5.0,0.0,1490047,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9736,503-9556,,20020527.0,20020530.0,1,
1490051,노동부 노정국 국제협력과,국제협력과,3.0,0.0,0.0,1490047,1490000,1490000,,,,,,,,,,,,20020527.0,20000501.0,1,
1490052,노동부 노정국 노사협력관,노사협력관,3.0,0.0,0.0,1490047,1490000,1490000,,,,,,,,,,,,20020527.0,20000501.0,1,
1490053,노동부 노정국 노정담당관,노정담당관,3.0,0.0,0.0,1490047,1490000,1490000,,,,,,,,,,,,20020527.0,20000501.0,1,
1490054,노동부 노사정책실,노사정책실,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490055,노동부 노사정책실 노정과,노정과,3.0,,0.0,1490054,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490056,노동부 노사정책실 노동조합과,노동조합과,3.0,,0.0,1490054,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490057,노동부 노사정책실 노사협의과,노사협의과,3.0,,0.0,1490054,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490058,노동부 노사정책실 국제협력과,국제협력과,3.0,,0.0,1490054,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490059,노동부 노사정책실 노사조정과,노사조정과,3.0,,0.0,1490054,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490060,노동부 노사정책실 노정기획관,노정기획관,3.0,,0.0,1490054,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490061,노동부 노사정책실 노사협력관,노사협력관,3.0,,0.0,1490054,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490062,노동부 노사정책실 조사협력관,조사협력관,3.0,,0.0,1490054,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490063,노동부 노사정책실 분석관리과,분석관리과,3.0,,0.0,1490054,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490064,노동부 노사정책실 노사지도관,노사지도관,3.0,,0.0,1490054,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490065,노동부 근로기준국,근로기준국,2.0,3.0,0.0,1490000,1490000,1490000,1.0,4.0,05,,,4129010700,,000010000,503-9740,503-9743,20000101,20100705.0,20100727.0,1,
1490066,노동부 근로기준국 근로기준과,근로기준과,3.0,1.0,0.0,1490065,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9742,503-9743,,20100705.0,20100727.0,1,
1490067,노동부 근로기준국 임금복지과,임금복지과,3.0,1.0,0.0,1490065,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9732,503-9743,,20100705.0,20100727.0,1,
1490068,노동부 근로기준국 부녀소년과,부녀소년과,3.0,,0.0,1490065,1490000,1490000,,,,,,,,,,,20000101,20100224.0,20100304.0,1,
1490069,노동부 근로기준국 산재보험과,산재보험과,3.0,1.0,0.0,1490065,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9761,503-3734,,20100705.0,20100727.0,1,
1490070,노동부 산업안전국,산업안전국,2.0,3.0,0.0,1490000,1490000,1490000,1.0,4.0,05,,,4129010700,,000010000,504-2051,503-4545,,20050909.0,20050908.0,1,
1490071,노동부 산업안전국 안전정책과,안전정책과,3.0,1.0,0.0,1490070,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9744,503-4490,,20050909.0,20050908.0,1,
1490072,노동부 산업안전국 안전기획과,안전기획과,3.0,0.0,0.0,1490070,1490000,1490000,,,,,,,,,,,,20020527.0,20000501.0,1,
1490073,노동부 산업안전국 산업안전과,산업안전과,3.0,1.0,0.0,1490070,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,504-2052,503-4490,,20050909.0,20050908.0,1,
1490074,노동부 산업안전국 산업보건과,산업보건과,3.0,0.0,0.0,1490070,1490000,1490000,,,,,,,,,,,,20020527.0,20000501.0,1,
1490075,노동부 산업안전국 작업환경과,작업환경과,3.0,0.0,0.0,1490070,1490000,1490000,,,,,,,,,,,,20020527.0,20000501.0,1,
1490076,노동부 산업안전국 건설안전추진반,건설안전추진반,3.0,0.0,0.0,1490070,1490000,1490000,,,,,,,,,,,,20020527.0,20000501.0,1,
1490077,노동부 산업안전국 산업위생과,산업위생과,3.0,0.0,0.0,1490070,1490000,1490000,,,,,,,,,,,,20020527.0,20000501.0,1,
1490078,노동부 산업안전국 건설근로안전과,건설근로안전과,3.0,0.0,0.0,1490070,1490000,1490000,,,,,,,,,,,,20020527.0,20000501.0,1,
1490079,노동부 산업안전국 산업보건환경과,산업보건환경과,3.0,1.0,0.0,1490070,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,504-2054,503-4491,,20050909.0,20050908.0,1,
1490080,노동부 근로여성정책국,근로여성정책국,2.0,3.0,0.0,1490000,1490000,1490000,1.0,4.0,05,,,4129010700,,000010000,503-9741,502-5442,,20020527.0,20020530.0,1,
1490081,노동부 근로여성정책국 여성정책과,여성정책과,3.0,2.0,0.0,1490080,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,503-9746,502-5442,,20020527.0,20020530.0,1,
1490082,노동부 근로여성정책국 여성고용지원과,여성고용지원과,3.0,3.0,0.0,1490080,1490000,1490000,1.0,4.0,07,,,4129010700,,000010000,502-5441,502-5442,,20020527.0,20020530.0,1,
1490083,노동부 근로여성국,근로여성국,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490084,노동부 근로여성국 근로여성정책과,근로여성정책과,3.0,,0.0,1490083,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490085,노동부 근로여성국 부녀소년지원과,부녀소년지원과,3.0,,0.0,1490083,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490086,노동부 직업안정국,직업안정국,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490087,노동부 직업안정국 고용대책과,고용대책과,3.0,,0.0,1490086,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490088,노동부 직업안정국 고용관리과,고용관리과,3.0,,0.0,1490086,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490089,노동부 직업안정국 고용정책과,고용정책과,3.0,,0.0,1490086,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490090,노동부 직업안정국 인력수급과,인력수급과,3.0,,0.0,1490086,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490091,노동부 직업안정국 해외고용과,해외고용과,3.0,,0.0,1490086,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490092,노동부 직업안정국 장애인고용과,장애인고용과,3.0,,0.0,1490086,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490093,노동부 직업안정국 해외지도과,해외지도과,3.0,,0.0,1490086,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490094,노동부 직업안정국 고용보험과,고용보험과,3.0,,0.0,1490086,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490095,노동부 직업훈련국,직업훈련국,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490096,노동부 직업훈련국 훈련기획과,훈련기획과,3.0,,0.0,1490095,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490097,노동부 직업훈련국 훈련정책과,훈련정책과,3.0,,0.0,1490095,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490098,노동부 직업훈련국 훈련지도과,훈련지도과,3.0,,0.0,1490095,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490099,노동부 직업훈련국 자격진흥과,자격진흥과,3.0,,0.0,1490095,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490100,노동부 직업훈련국 능력개발과,능력개발과,3.0,,0.0,1490095,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490101,노동부 직업훈련국 공공훈련과,공공훈련과,3.0,,0.0,1490095,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490102,노동부 직업훈련국 사업내훈련과,사업내훈련과,3.0,,0.0,1490095,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490103,노동부 직업훈련국 기능검정과,기능검정과,3.0,,0.0,1490095,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490104,노동부 산재보험국,산재보험국,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490105,노동부 산재보험국 산재보험정책과,산재보험정책과,3.0,,0.0,1490104,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490106,노동부 산재보험국 산재보상과,산재보상과,3.0,,0.0,1490104,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490107,노동부 노동보험국,노동보험국,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490108,노동부 노동보험국 보험정책과,보험정책과,3.0,,0.0,1490107,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490109,노동부 노동보험국 보험관리과,보험관리과,3.0,,0.0,1490107,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490110,노동부 노동보험국 보험징수과,보험징수과,3.0,,0.0,1490107,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490111,노동부 노동보험국 재해보상과,재해보상과,3.0,,0.0,1490107,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490112,노동부 노동연수원,노동연수원,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490113,노동부 노동연수원 서무과,서무과,3.0,,0.0,1490112,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490114,노동부 노동연수원 교학과,교학과,3.0,,0.0,1490112,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490115,노동부 노동연수원 관리과,관리과,3.0,,0.0,1490112,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490116,노동부 노동연수원 교수부,교수부,3.0,,0.0,1490112,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490117,노동부 노동연수원 교수부 기획과,기획과,4.0,,0.0,1490116,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490118,노동부 노동연수원 교수부 학사과,학사과,4.0,,0.0,1490116,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490119,노동부 중앙고용정보관리소,중앙고용정보관리소,2.0,3.0,1.0,1490000,1490000,1490000,1.0,7.0,07,,,1156012100,,000770011,2194-0708,676-2167,,20010101.0,20010113.0,1,
1490120,노동부 중앙고용정보관리소 서무과,서무과,3.0,1.0,0.0,1490119,1490000,1490000,1.0,4.0,07,,,1156012100,,000770011,2194-0710,676-2167,,20010101.0,20010113.0,1,
1490121,노동부 중앙고용정보관리소 개발운영부,개발운영부,3.0,2.0,0.0,1490119,1490000,1490000,1.0,4.0,06,,,1156012100,,000770011,2194-0705,676-2167,,20010101.0,20010113.0,1,
1490122,노동부 중앙고용정보관리소 개발운영부 직업지도과,직업지도과,4.0,1.0,0.0,1490121,1490000,1490000,1.0,4.0,07,,,1156012100,,000770011,2194-0720,676-2167,,20010101.0,20010113.0,1,
1490123,노동부 중앙고용정보관리소 개발운영부 직무분석과,직무분석과,4.0,2.0,0.0,1490121,1490000,1490000,1.0,4.0,07,,,1156012100,,000770011,2194-0750,676-2167,,20010101.0,20010113.0,1,
1490124,노동부 중앙고용정보관리소 개발운영부 전산개발과,전산개발과,4.0,3.0,0.0,1490121,1490000,1490000,1.0,4.0,07,,,1156012100,,000770011,2194-0810,676-2167,,20010101.0,20010113.0,1,
1490125,노동부 중앙고용정보관리소 개발운영부 전산운영과,전산운영과,4.0,4.0,0.0,1490121,1490000,1490000,1.0,4.0,07,,,1156012100,,000770011,2194-0840,676-2167,,20010101.0,20010113.0,1,
1490126,노동부 국립중앙직업안정소,국립중앙직업안정소,2.0,,0.0,1490000,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490127,노동부 국립중앙직업안정소 서무과,서무과,3.0,,0.0,1490126,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490128,노동부 국립중앙직업안정소 고용개발과,고용개발과,3.0,,0.0,1490126,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490129,노동부 국립중앙직업안정소 직업지도과,직업지도과,3.0,,0.0,1490126,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490130,노동부 중앙노동위원회,중앙노동위원회,2.0,3.0,1.0,1490000,1490000,1490000,1.0,6.0,01,,,1144010200,한국산업인력관리공단7층,003700004,3273-1530 ,3273-1534 ,20000101,20100705.0,20100727.0,1,
1490131,노동부 중앙노동위원회 사무국,사무국,3.0,1.0,0.0,1490130,1490000,1490000,1.0,4.0,05,,,1144010200,한국산업인력관리공단7층,003700004,3273-1532 ,3273-1534 ,20000101,20100705.0,20100727.0,1,
1490132,노동부 중앙노동위원회 사무국 서무과,서무과,4.0,,0.0,1490131,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490133,노동부 중앙노동위원회 사무국 기획총괄과,기획총괄과,4.0,1.0,0.0,1490131,1490000,1490000,1.0,4.0,07,,,1144010200,한국산업인력관리공단7층,003700004,3273-0226,3273-2129 ,,20100705.0,20100727.0,1,
1490134,노동부 중앙노동위원회 사무국 조정과,조정과,4.0,1.0,0.0,1490131,1490000,1490000,1.0,4.0,07,,,1144010200,한국산업인력관리공단7층,003700004,3273-2127,3273-0228,,20100705.0,20100727.0,1,
1490135,노동부 중앙노동위원회 사무국 심판과,심판과,4.0,1.0,0.0,1490131,1490000,1490000,1.0,4.0,07,,,1144010200,한국산업인력관리공단7층,003700004,3273-2325,3273-2328 ,20000101,20100705.0,20100727.0,1,
1490136,노동부 지방노동위원회 서울특별시,서울특별시,3.0,,0.0,9936441,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490137,노동부 지방노동위원회 서울특별시 사무국,사무국,4.0,,0.0,1490136,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490138,노동부 지방노동위원회 서울특별시 사무국 조정과,조정과,5.0,,0.0,1490137,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490139,노동부 지방노동위원회 서울특별시 사무국 심판과,심판과,5.0,,0.0,1490137,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490140,노동부 서울지방노동위원회,서울지방노동위원회,2.0,3.0,1.0,1490000,1490000,1490000,1.0,6.0,01,,,1168010800,,000710000,541-1190 ,541-1198 ,20000101,20100705.0,20100727.0,1,
1490141,노동부 서울지방노동위원회 사무국,사무국,3.0,1.0,0.0,1490140,1490000,1490000,1.0,4.0,05,,,1168010800,,000710000,541-1191,541-1198,,20100705.0,20100727.0,1,
1490142,노동부 서울지방노동위원회 사무국 조정과,조정과,4.0,1.0,0.0,1490141,1490000,1490000,1.0,4.0,07,,,1168010800,,000710000,541-1192,541-1198,,20100705.0,20100727.0,1,
1490143,노동부 서울지방노동위원회 사무국 심판과,심판과,4.0,1.0,0.0,1490141,1490000,1490000,1.0,4.0,07,,,1168010800,,000710000,541-1195,541-1198,,20100705.0,20100727.0,1,
1490144,노동부 부산직할시 지방노동위원회,지방노동위원회,3.0,,0.0,9936441,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490145,노동부 부산직할시 지방노동위원회 사무국,사무국,4.0,,0.0,1490144,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490146,노동부 대구직할시 지방노동위원회,지방노동위원회,3.0,,0.0,9936441,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490147,노동부 대구직할시 지방노동위원회 사무국,사무국,4.0,,0.0,1490146,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490148,노동부 인천직할시 지방노동위원회,지방노동위원회,3.0,,0.0,9936441,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490149,노동부 인천직할시 지방노동위원회 사무국,사무국,4.0,,0.0,1490148,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490150,노동부 지방노동위원회 부산광역시,부산광역시,3.0,,0.0,9936441,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490151,노동부 지방노동위원회 부산광역시 사무국,사무국,4.0,,0.0,1490150,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490152,노동부 지방노동위원회 부산광역시 사무국 조정과,조정과,5.0,,0.0,1490151,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490153,노동부 지방노동위원회 부산광역시 사무국 심판과,심판과,5.0,,0.0,1490151,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490154,노동부 부산지방노동위원회,부산지방노동위원회,2.0,3.0,1.0,1490000,1490000,1490000,1.0,6.0,01,,,2617010100,영진빌딩2층 ,011540006,051-462-9508 ,051-464-8402 ,20000101,20100705.0,20100727.0,1,
1490155,노동부 부산지방노동위원회 사무국,사무국,3.0,1.0,0.0,1490154,1490000,1490000,1.0,4.0,05,,,2617010100,영진빌딩2층 ,011540006,051-469-4009,051-464-8402,,20100705.0,20100727.0,1,
1490156,노동부 부산지방노동위원회 사무국 조정과,조정과,4.0,1.0,0.0,1490155,1490000,1490000,1.0,4.0,07,,,2617010100,영진빌딩2층 ,011540006,051-462-9504,051-464-8402,,20100705.0,20100727.0,1,
1490157,노동부 부산지방노동위원회 사무국 심판과,심판과,4.0,1.0,0.0,1490155,1490000,1490000,1.0,4.0,07,,,2617010100,영진빌딩2층 ,011540006,051-462-9509,051-464-8402,,20100705.0,20100727.0,1,
1490158,노동부 대구광역시 지방노동위원회,지방노동위원회,3.0,,0.0,9936441,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490159,노동부 대구광역시 지방노동위원회 사무국,사무국,4.0,,0.0,1490158,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490160,노동부 지방노동위원회 인천광역시,인천광역시,3.0,,0.0,9936441,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490161,노동부 지방노동위원회 인천광역시 사무국,사무국,4.0,,0.0,1490160,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490162,노동부 인천지방노동위원회,인천지방노동위원회,2.0,3.0,1.0,1490000,1490000,1490000,1.0,6.0,01,,,2811012100,,000030003,032-761-2053,032-763-3661,20000101,20100705.0,20100727.0,1,
1490163,노동부 인천지방노동위원회 사무국,사무국,3.0,1.0,0.0,1490162,1490000,1490000,1.0,4.0,05,,,2811012100,,000030003,032-761-2053,032-763-3661,,20100705.0,20100727.0,1,
1490164,노동부 지방노동위원회 경기도,경기도,3.0,,0.0,9936441,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
1490165,노동부 지방노동위원회 경기도 사무국,사무국,4.0,,0.0,1490164,1490000,1490000,,,,,,,,,,,,20110412.0,,1,
