분야,질문명,등록일,답변제목,답변등록일,댓글등록일,댓글등록자,댓글내용
통합고용(센터·지역·근로),반려한 신청서의 처리가능 여부,2011-09-20 13:32:39.0,[답변] 반려한 신청서의 처리가능 여부,2011-09-21 10:05:35.0,,,
통합고용(센터·지역·근로),육아휴직급여의 반환범위에 대해,2011-10-05 11:27:15.0,  [답변] 육아휴직급여의 반환범위에 대해,2011-10-07 10:20:13.0,,,
고용서비스(센터·관리),고용보험법상 취득일은 언제?,2011-10-25 09:03:18.0,  [답변] 고용보험법상 취득일은 언제?,2011-10-25 11:07:22.0,,,
고용서비스(센터·관리),북한이탈주민(자활참여 근로자)의 취업보호 범위와 한계,2011-10-26 11:00:00.0,   [답변] 북한이탈주민(자활참여 근로자)의 취업보호 범위와 한계,2011-10-27 10:30:29.0,,,
고용서비스(센터·관리),원직복직 판결로 기지급된 실업급여 회수시 소멸 기한문의,2011-11-02 11:59:04.0, [답변] 원직복직 판결로 기지급된 실업급여 회수시 소멸 기한문의,2011-11-02 14:02:47.0,,,
고용서비스(센터·관리),외국인근로자(H-2)의 부당이득금 환수,2011-11-03 18:58:45.0,  [답변] 외국인근로자(H-2)의 부당이득금 환수,2011-11-04 15:34:06.0,,,
통합고용(센터·지역·근로),산전후휴가 기간중 이직하여 피보험단위기간이 180일이 안될때..,2011-11-10 12:51:50.0,[답변] 산전후휴가 기간중 이직하여 피보험단위기간이 180일이 안될때..,2011-11-11 11:21:38.0,,,
고용서비스(센터·관리),연장근로시간 관련,2011-11-15 11:42:40.0,[답변] 연장근로시간 관련,2011-11-15 12:37:45.0,,,
고용서비스(센터·관리),피보험자격 상실일 확인(지노위 부당해고 판정 후 중노위 정당해고 판정),2011-11-15 12:33:28.0,  [답변] 피보험자격 상실일 확인(지노위 부당해고 판정 후 중노위 정당해고 판정),2011-11-16 10:00:59.0,,,
고용서비스(센터·관리),고용보험법상 과태료 부과 대상인지 문의 드립니다.,2011-11-25 19:10:56.0,[답변] 고용보험법상 과태료 부과 대상인지 문의 드립니다.,2011-11-28 13:39:15.0,,,
고용서비스(센터·관리),피보험자격 확인 청구 처리 문의,2011-11-28 11:43:28.0,  [답변] 피보험자격 확인 청구 처리 문의,2011-11-28 13:25:41.0,,,
고용서비스(센터·관리),보험설계사 해촉일 판단여부 ,2012-01-13 10:49:19.0,[답변] 보험설계사 해촉일 판단여부 ,2012-01-16 17:12:48.0,,,
통합고용(센터·지역·근로),육아휴직 미부여로 처벌 후에도 육아휴직 미부여서,2012-05-31 13:05:19.0,     [답변] 육아휴직 미부여로 처벌 후에도 육아휴직 미부여서,2012-05-31 16:07:34.0,,,
노동시장(센터·지역),고용촉진지원금 구직등록에 대하여,2012-06-07 10:51:39.0, [답변] 고용촉진지원금 구직등록에 대하여,2012-06-07 16:37:56.0,,,
통합고용(센터·지역·근로),직장보육시설지원금 중 보육시설장 인건비 지원관련 문의,2012-06-08 15:06:41.0,   [답변] 직장보육시설지원금 중 보육시설장 인건비 지원관련 문의,2012-06-11 15:09:07.0,,,
고용서비스(센터·관리),평생교육원의 강사 고용보험 적용여부,2012-06-14 09:14:13.0,      [답변] 평생교육원의 강사 고용보험 적용여부,2012-06-14 11:16:52.0,,,
고용서비스(센터·관리),임금피크제 적용근로자 범위에 관하여,2012-07-11 13:42:20.0,   [답변] 임금피크제 적용근로자 범위에 관하여,2012-07-11 16:35:45.0,,,
고용서비스(센터·관리),배우자의 근로자성 판단 관련 질의드립니다.,2012-07-11 18:45:27.0,  [답변] 배우자의 근로자성 판단 관련 질의드립니다.,2012-07-12 11:06:04.0,,,
고용서비스(센터·관리),재하수급의 고용보험신고 주체에 대해 의견을 구합니다.,2012-07-12 14:19:27.0,       [답변] 재하수급의 고용보험신고 주체에 대해 의견을 구합니다.,2012-07-13 09:38:33.0,,,
통합고용(센터·지역·근로),산전후휴가급여 및 육아휴직급여 통상임금 적용 범위에 대한 질의입니다.,2012-07-20 11:30:59.0,[답변] 산전후휴가급여 및 육아휴직급여 통상임금 적용 범위에 대한 질의입니다.,2012-07-23 16:16:45.0,,,
고용서비스(센터·관리),그 사유가 발생한 날이 속하는 달의 의미,2012-10-02 15:59:05.0, [답변] 그 사유가 발생한 날이 속하는 달의 의미,2012-10-05 10:19:52.0,,,
고용서비스(센터·관리),그 사유가 발생한 날이 속하는 달의 의미,2012-10-02 15:59:05.0, ,2012-10-05 17:50:54.0,,,
고용서비스(센터·관리),사업주의 형부가 근로자를 해고할 수 있는 권한여부,2012-10-16 17:48:48.0,[답변] 사업주의 형부가 근로자를 해고할 수 있는 권한여부,2012-10-17 16:21:51.0,,,
고용서비스(센터·관리),소멸시효에 대하여,2012-10-23 15:56:47.0, [답변] 소멸시효에 대하여,2012-10-25 13:19:19.0,,,
통합고용(센터·지역·근로),산전후휴가기간에 대한 직장보육시설지원금 지급가능 여부 질의드립니다.,2012-11-07 15:05:19.0, [답변] 산전후휴가기간에 대한 직장보육시설지원금 지급가능 여부 질의드립니다.,2012-11-08 16:36:50.0,,,
고용서비스(센터·관리),동거친족만을 구성하는 사업장에 대하여,2012-11-26 14:40:54.0, [답변] 동거친족만을 구성하는 사업장에 대하여,2012-11-27 12:38:46.0,,,
고용서비스(센터·관리),베트남현지법인에 채용된 근로자의 고용보험 가입 문의,2013-01-09 17:57:20.0, [답변] 베트남현지법인에 채용된 근로자의 고용보험 가입 문의,2013-01-11 13:13:39.0,,,
고용서비스(센터·관리),신규채용시 안전교육과 고용보험 피보험자격 취득일에 관한 질문입니다.,2013-01-11 11:43:24.0,[답변] 신규채용시 안전교육과 고용보험 피보험자격 취득일에 관한 질문입니다.,2013-01-14 11:10:21.0,,,
고용서비스(센터·관리),일용근로자와 상용근로자의 구분.,2013-01-16 20:21:41.0,[답변] 일용근로자와 상용근로자의 구분.,2013-01-18 15:30:10.0,,,
통합고용(센터·지역·근로),실제 육아휴직을 부여받은 기간과 육아휴직급여 수급기간이 다를 경우,2013-01-17 20:30:26.0,[답변] 실제 육아휴직을 부여받은 기간과 육아휴직급여 수급기간이 다를 경우,2013-01-21 14:50:05.0,,,
노동시장(센터·지역),신규고용촉진 및 전문인력지원금 관련 ,2013-01-22 16:18:20.0,[답변] 신규고용촉진 및 전문인력지원금 관련 ,2013-01-23 16:12:02.0,,,
고용서비스(센터·관리),노인일자리사업 참여자 고용보험 피보험자격 취득여부,2013-02-14 14:57:49.0,    [답변] 노인일자리사업 참여자 고용보험 피보험자격 취득여부,2013-02-18 15:20:21.0,,,
고용서비스(센터·관리),해외파견 근로자에 해당하는지 여부와 고용보험 적용 관련 질의,2013-02-20 09:45:15.0, [답변] 해외파견 근로자에 해당하는지 여부와 고용보험 적용 관련 질의,2013-02-20 14:25:45.0,,,
고용서비스(센터·관리),산전휴 분할 사용시 확인서상의 부여기간 변경관련 문의,2013-03-06 08:30:33.0,[답변] 산전휴 분할 사용시 확인서상의 부여기간 변경관련 문의,2013-03-06 14:29:53.0,,,
통합고용(센터·지역·근로),산전후 신청기간중 사업장의 대기업->우선지원대상으로 변경된경우 ,2013-03-11 20:47:49.0, [답변] 산전후 신청기간중 사업장의 대기업->우선지원대상으로 변경된경우 ,2013-03-13 13:55:54.0,,,
통합고용(센터·지역·근로),첫째아이 육아휴직기간중 둘째아이 출산시 육아휴직급여 반환에 대해,2013-03-13 10:49:08.0,[답변] 첫째아이 육아휴직기간중 둘째아이 출산시 육아휴직급여 반환에 대해,2013-03-14 17:44:18.0,,,
통합고용(센터·지역·근로),08년도 이후 출생자녀의 육아휴직 지급 관련 질의,2013-03-16 14:28:40.0,[답변] 08년도 이후 출생자녀의 육아휴직 지급 관련 질의,2013-03-19 11:20:52.0,,,
통합고용(센터·지역·근로),08년도 이후 출생자녀의 육아휴직 지급 관련 질의,2013-03-16 14:28:40.0,[답변] 08년도 이후 출생자녀의 육아휴직 지급 관련 질의,2013-03-22 09:07:05.0,,,
통합고용(센터·지역·근로),08년도 이후 출생자녀의 육아휴직 지급 관련 질의,2013-03-16 14:28:40.0,[답변] 08년도 이후 출생자녀의 육아휴직 지급 관련 질의,2013-03-22 12:36:32.0,,,
통합고용(센터·지역·근로),08년도 이후 출생자녀의 육아휴직 지급 관련 질의,2013-03-16 14:28:40.0,[답변] 08년도 이후 출생자녀의 육아휴직 지급 관련 질의,2013-06-03 13:11:13.0,,,
고용서비스(센터·관리),부당이득인지 부정수급인지 여부,2013-03-21 12:09:10.0,  [답변] 부당이득인지 부정수급인지 여부,2013-03-21 17:31:30.0,,,
고용서비스(센터·관리),근로계약서상의 임금과 실 지급액이 상이한경우,2013-03-25 17:44:30.0,[답변] 근로계약서상의 임금과 실 지급액이 상이한경우,2013-03-27 10:23:02.0,,,
고용서비스(센터·관리),육아기단축 감액규정 관련 질의,2013-03-28 15:53:48.0, [답변] 육아기단축 감액규정 관련 질의,2013-03-28 17:20:27.0,,,
고용서비스(센터·관리),육아기단축 감액규정 관련 질의,2013-03-28 15:53:48.0,  [답변] 육아기단축 감액규정 관련 질의,2013-03-29 10:28:49.0,,,
고용서비스(센터·관리),육아기단축 감액규정 관련 질의,2013-03-28 15:53:48.0, [답변] 육아기단축 감액규정 관련 질의,2013-03-29 14:01:57.0,,,
고용서비스(센터·관리),육아기단축 감액규정 관련 질의,2013-03-28 15:53:48.0,[답변] 육아기단축 감액규정 관련 질의,2013-04-02 15:44:44.0,,,
고용서비스(센터·관리),사회복지시설 종사자수당이 통상임금에 포함되는지요,2013-04-04 17:18:49.0,     [답변] 사회복지시설 종사자수당이 통상임금에 포함되는지요,2013-04-05 14:35:53.0,,,
고용서비스(센터·관리),육아휴직 중 새로 취업하는 경우,2013-04-23 14:27:21.0,  [답변] 육아휴직 중 새로 취업하는 경우,2013-04-24 13:01:55.0,,,
고용서비스(센터·관리),근로자성 판단에 대하여 문의드립니다.(도시공사 상임이사),2013-04-24 10:19:32.0,  [답변] 근로자성 판단에 대하여 문의드립니다.(도시공사 상임이사),2013-04-26 15:27:58.0,,,
고용서비스(센터·관리),관련 사업주 여부 판단,2013-04-30 16:15:07.0,[답변] 관련 사업주 여부 판단,2013-05-02 10:15:26.0,,,
고용서비스(센터·관리),육아휴직 기간 중 프리랜서 일을 한 경우,2013-05-23 15:56:36.0, [답변] 육아휴직 기간 중 프리랜서 일을 한 경우,2013-05-28 10:26:33.0,,,
통합고용(센터·지역·근로),동일 사업주의 근로자인지 여부 ,2013-05-31 10:15:55.0,[답변] 동일 사업주의 근로자인지 여부 ,2013-06-04 14:40:44.0,,,
고용서비스(센터·관리),육아휴직급여 지급 제한 관련 문의,2013-06-13 15:39:54.0,[답변] 육아휴직급여 지급 제한 관련 문의,2013-06-14 16:29:45.0,,,
고용서비스(센터·관리),비동거친족 근로자성 여부 문의,2013-06-14 10:21:16.0,[답변] 비동거친족 근로자성 여부 문의,2013-06-14 17:16:20.0,,,
고용서비스(센터·관리),통상임금관련하여 문의드려요(빠른답변 부탁드립니다),2013-06-17 12:04:35.0, [답변] 통상임금관련하여 문의드려요(빠른답변 부탁드립니다),2013-06-18 16:12:20.0,,,
고용서비스(센터·관리),위에 여성가족재단의 통상임금문의와 관련입니다.,2013-06-17 14:48:08.0,[답변] 위에 여성가족재단의 통상임금문의와 관련입니다.,2013-06-18 16:27:44.0,,,
고용서비스(센터·관리),사업주 자녀의 근로자성 판단 문의드립니다,2013-06-21 16:32:27.0,[답변] 사업주 자녀의 근로자성 판단 문의드립니다,2013-06-26 14:52:19.0,,,
고용서비스(센터·관리),육아휴직 중 사업장 폐업시 지급문의,2013-07-02 09:51:39.0,[답변] 육아휴직 중 사업장 폐업시 지급문의,2013-07-04 14:06:09.0,,,
고용서비스(센터·관리),65세이상자 실업급여 적용관련 소급취득문의,2013-07-03 11:02:01.0,[답변] 65세이상자 실업급여 적용관련 소급취득문의,2013-07-03 16:21:29.0,,,
고용서비스(센터·관리),65세이상자 실업급여 적용관련 소급취득문의,2013-07-03 11:02:01.0,  [답변] 65세이상자 실업급여 적용관련 소급취득문의,2013-07-06 19:46:39.0,,,
고용서비스(센터·관리),65세이상자 실업급여 적용관련 소급취득문의,2013-07-03 11:02:01.0,[답변] 65세이상자 실업급여 적용관련 소급취득문의,2013-07-08 14:21:28.0,,,
통합고용(센터·지역·근로),육아휴직장려금,2013-07-04 17:51:13.0, [답변] 육아휴직장려금,2013-07-08 14:58:43.0,,,
고용서비스(센터·관리),비영리법인 대표자의 실업급여 수급자격인정 여부,2013-07-16 11:48:01.0, [답변] 비영리법인 대표자의 실업급여 수급자격인정 여부,2013-07-16 16:02:58.0,,,
통합고용(센터·지역·근로),동일영아에 대해 부정수급 처분받아 반환한 기간에 대해 재신청가능한지.,2013-07-18 17:59:51.0,[답변] 동일영아에 대해 부정수급 처분받아 반환한 기간에 대해 재신청가능한지.,2013-07-22 10:18:30.0,,,
고용서비스(센터·관리),육아휴직급여 감액지급 관련 문의,2013-07-22 11:58:07.0,[답변] 육아휴직급여 감액지급 관련 문의,2013-07-22 16:08:32.0,,,
고용서비스(센터·관리),육아휴직(육아기 단축) 분할 사용 의미,2013-07-22 16:10:54.0,[답변] 육아휴직(육아기 단축) 분할 사용 의미,2013-07-25 15:13:54.0,,,
고용서비스(센터·관리),육아휴직 연기횟수(?),2013-07-26 17:52:29.0,[답변] 육아휴직 연기횟수(?),2013-07-29 15:43:00.0,,,
고용서비스(센터·관리),부정수급 관련 문의,2013-07-29 10:27:47.0,[답변] 부정수급 관련 문의,2013-07-30 10:04:00.0,,,
통합고용(센터·지역·근로),육아휴직급여 부지급 처분 취소 후 분할 사용 가능 여부,2013-07-30 09:41:19.0,[답변] 육아휴직급여 부지급 처분 취소 후 분할 사용 가능 여부,2013-07-30 14:55:41.0,,,
통합고용(센터·지역·근로),출산휴가급여 지급 이후 출산휴가기간 변경 관련,2013-07-30 13:14:27.0,[답변] 출산휴가급여 지급 이후 출산휴가기간 변경 관련,2013-07-30 15:10:37.0,,,
고용서비스(센터·관리),동거가족 요양보호사의 고용보험 취득관련,2013-08-05 16:30:58.0,[답변] 동거가족 요양보호사의 고용보험 취득관련,2013-08-07 16:23:29.0,,,
고용서비스(센터·관리),모성보호 법 조항 적용범위,2013-08-06 15:42:01.0,[답변] 모성보호 법 조항 적용범위,2013-08-08 09:49:06.0,,,
고용서비스(센터·관리),모성보호 법 조항 적용범위,2013-08-06 15:42:01.0, [답변] 지급 대상으로 보아야 합니다.,2013-08-08 12:13:33.0,,,
고용서비스(센터·관리),NO 426 모성보호 법 조항 적용범위 추가질의,2013-08-08 15:23:29.0,[답변] NO 426 모성보호 법 조항 적용범위 추가질의,2013-08-08 16:59:12.0,,,
고용서비스(센터·관리),NO 426 모성보호 법 조항 적용범위 추가질의,2013-08-08 15:23:29.0,[답변] NO 426 모성보호 법 조항 적용범위 추가질의,2013-08-08 17:16:29.0,,,
고용서비스(센터·관리),NO 426 모성보호 법 조항 적용범위 추가질의,2013-08-08 15:23:29.0,[답변] NO 426 모성보호 법 조항 적용범위 추가질의,2013-08-08 17:39:53.0,,,
고용서비스(센터·관리),NO418 육아휴직급여 감액지급 관련 2번항목 추가질의,2013-08-09 16:53:53.0,[답변] NO418 육아휴직급여 감액지급 관련 2번항목 추가질의,2013-08-12 16:35:50.0,,,
고용서비스(센터·관리),고용촉진지원금에 대해 문의 드립니다,2013-08-12 07:33:39.0, [답변] 고용촉진지원금에 대해 문의 드립니다,2013-08-13 10:52:00.0,,,
고용서비스(센터·관리),고용유지조치 휴직에 대해 문의드립니다,2013-08-15 11:02:56.0, [답변] 고용유지조치 휴직에 대해 문의드립니다,2013-08-16 10:54:33.0,,,
고용서비스(센터·관리),모성보호 급여관련 질의,2013-08-16 15:58:26.0,[답변] 모성보호 급여관련 질의,2013-08-19 11:42:10.0,,,
고용서비스(센터·관리),성과수당(성과급)의 통상임금 해당여부,2013-08-19 10:41:43.0,[답변] 성과수당(성과급)의 통상임금 해당여부,2013-08-19 14:20:33.0,,,
고용서비스(센터·관리),성과수당(성과급)의 통상임금 해당여부,2013-08-19 10:41:43.0,[답변] 성과수당(성과급)의 통상임금 해당여부,2013-08-20 14:38:32.0,,,
고용서비스(센터·관리),성과수당(성과급)의 통상임금 해당여부,2013-08-19 10:41:43.0,[답변] 성과수당(성과급)의 통상임금 해당여부,2013-08-22 07:45:22.0,,,
고용서비스(센터·관리),육아휴직급여지급에 대한 문의 ,2013-08-23 11:46:21.0,[답변] 육아휴직급여지급에 대한 문의 ,2013-08-27 17:24:01.0,,,
고용서비스(센터·관리),유사산휴가로 볼 것인지 산전후휴가로 볼 것인지 여부에 대해 질의합니다.,2013-08-23 17:10:59.0,[답변] 유사산휴가로 볼 것인지 산전후휴가로 볼 것인지 여부에 대해 질의합니다.,2013-08-28 10:48:00.0,,,
고용서비스(센터·관리),육아휴직급여 관련 형사고발 대상자가 심사청구 할 수 있는지 여부,2013-09-13 19:42:49.0, [답변] 육아휴직급여 관련 형사고발 대상자가 심사청구 할 수 있는지 여부,2013-09-17 10:14:56.0,,,
노동시장(센터·지역),고용촉진지원금 관련사업주 해당여부,2013-09-27 14:36:26.0,[답변] 고용촉진지원금 관련사업주 해당여부,2013-10-01 09:50:01.0,,,
노동시장(센터·지역), 고용유지(휴업)지원금 지급 가능 여부,2013-10-07 16:47:33.0,[답변]  고용유지(휴업)지원금 지급 가능 여부,2013-10-11 16:36:19.0,,,
고용서비스(센터·관리),임신.출산여성 고용안정지원금 2차지급시,2013-10-14 14:30:12.0, [답변] 임신.출산여성 고용안정지원금 2차지급시,2013-10-14 17:33:30.0,,,
노동시장(센터·지역),고용유지지원금의 지급대상 여부,2013-10-16 12:02:26.0,[답변] 고용유지지원금의 지급대상 여부,2013-10-16 15:33:04.0,,,
노동시장(센터·지역),고용유지지원금의 지급대상 여부,2013-10-16 12:02:26.0,[답변] 고용유지지원금의 지급대상 여부,2013-10-17 09:31:21.0,,,
고용서비스(센터·관리),근로자성 판단여부 부탁드립니다.,2013-10-16 16:59:54.0,[답변] 근로자성 판단여부 부탁드립니다.,2013-10-17 13:32:00.0,,,
노동시장(센터·지역),"고용창출지원사업(고용환경개선) 관련, 지원금 적용제외 근로자 범위",2013-10-25 17:12:34.0,"[답변] 고용창출지원사업(고용환경개선) 관련, 지원금 적용제외 근로자 범위",2013-10-28 10:16:00.0,,,
통합고용(센터·지역·근로),직장내 성희롱 과태료 처분 시효,2013-11-04 14:44:30.0, [답변] 직장내 성희롱 과태료 처분 시효,2013-11-04 16:46:03.0,,,
통합고용(센터·지역·근로),육아휴직급여 부정수급 반환 소멸시효 기산점 문의,2013-11-06 12:32:48.0,[답변] 육아휴직급여 부정수급 반환 소멸시효 기산점 문의,2013-11-07 11:31:33.0,,,
노동시장(센터·지역),고용유지조치 대상자 여부,2013-11-11 10:24:17.0,[답변] 고용유지조치 대상자 여부,2013-11-12 10:35:14.0,,,
통합고용(센터·지역·근로),정년연장지원금 문의,2013-11-13 17:55:08.0, [답변] 정년연장지원금 문의,2013-11-15 10:18:11.0,,,
통합고용(센터·지역·근로),육아휴직기간중 일용근로(일용근로내역등록),2013-11-14 17:28:57.0,[답변] 육아휴직기간중 일용근로(일용근로내역등록),2013-11-15 13:34:00.0,,,
통합고용(센터·지역·근로),재질의:육아휴직기간중 일용근로(일용근로내역등록),2013-11-18 15:38:32.0,[답변] 재질의:육아휴직기간중 일용근로(일용근로내역등록),2013-11-20 11:07:54.0,,,
통합고용(센터·지역·근로),출산전후휴가 분할 사용시 지급여부,2013-11-19 09:55:56.0,[답변] 출산전후휴가 분할 사용시 지급여부,2013-11-20 13:34:50.0,,,
고용서비스(센터·관리),기부과한 과태료처분에 대해 추가부과처리가 가능한지요?,2013-11-20 16:48:07.0,[답변] 기부과한 과태료처분에 대해 추가부과처리가 가능한지요?,2013-11-21 11:30:32.0,,,
고용서비스(센터·관리),육아휴직 기간 중 재택근무한 경우,2013-11-27 10:49:55.0,[답변] 육아휴직 기간 중 재택근무한 경우,2013-11-29 10:13:25.0,,,
통합고용(센터·지역·근로),육아휴직급여 6개월이상 계속근무 여부,2013-11-27 16:15:50.0, [답변] 육아휴직급여 6개월이상 계속근무 여부,2013-11-28 10:32:36.0,,,
통합고용(센터·지역·근로),육아휴직급여 6개월이상 계속근무 여부,2013-11-27 16:15:50.0,[답변] 육아휴직급여 6개월이상 계속근무 여부,2013-11-28 13:48:19.0,,,
통합고용(센터·지역·근로),육아휴직급여 6개월이상 계속근무 여부,2013-11-27 16:15:50.0,[답변] 육아휴직급여 6개월이상 계속근무 여부,2013-11-29 14:35:33.0,,,
고용서비스(센터·관리),종합건설주식회사의 휴직 지원금 처리요령 문의,2013-12-04 20:29:53.0,[답변] 종합건설주식회사의 휴직 지원금 처리요령 문의,2013-12-09 14:11:39.0,,,
고용서비스(센터·관리),사업장 휴업 기간동안 근로자의 육아휴직 부여가 가능한지요?,2013-12-10 10:02:15.0,[답변] 사업장 휴업 기간동안 근로자의 육아휴직 부여가 가능한지요?,2013-12-13 14:34:55.0,,,
통합고용(센터·지역·근로),정년연장지원금 문의,2013-12-13 10:57:17.0,[답변] 정년연장지원금 문의,2013-12-18 13:08:45.0,,,
노동시장(센터·지역),고용촉진지원금(고용안정사업) 부정수급 ,2013-12-19 10:48:06.0, [답변] 고용촉진지원금(고용안정사업) 부정수급 ,2013-12-20 10:05:12.0,,,
고용서비스(센터·관리),종합건설 휴직 관련,2013-12-19 20:34:56.0,[답변] 종합건설 휴직 관련,2013-12-20 14:43:35.0,,,
노동시장(센터·지역),고용촉진지원금 문의드립니다.,2014-01-02 10:32:29.0, [답변] 고용촉진지원금 문의드립니다.,2014-01-07 11:19:31.0,,,
노동시장(센터·지역),고용안정 지원금 중복지원 제한 관련,2014-01-16 14:57:52.0, [답변] 고용안정 지원금 중복지원 제한 관련,2014-01-17 14:29:57.0,,,
고용서비스(센터·관리),모성보호급여 부정행위 신고한자에 대한 포상금 지급여부,2014-01-28 17:53:17.0, [답변] 모성보호급여 부정행위 신고한자에 대한 포상금 지급여부,2014-01-29 10:55:15.0,,,
고용서비스(센터·관리),모성보호급여 부정행위 신고한자에 대한 포상금 지급여부,2014-01-28 17:53:17.0,[답변] 모성보호급여 부정행위 신고한자에 대한 포상금 지급여부,2014-02-03 13:47:33.0,,,
고용서비스(센터·관리),심사청구 제기 기한의 범위,2014-02-03 10:21:53.0,[답변] 심사청구 제기 기한의 범위,2014-02-04 15:09:43.0,,,
통합고용(센터·지역·근로),육아휴직급여 부정수급처리시 추가징수금액 범위 관련,2014-02-03 18:07:02.0,[답변] 육아휴직급여 부정수급처리시 추가징수금액 범위 관련,2014-02-05 12:14:59.0,,,
고용서비스(센터·관리),피보험자격 이중취득의 제한 취지에 대하여,2014-02-06 15:10:45.0,[답변] 피보험자격 이중취득의 제한 취지에 대하여,2014-02-11 09:45:04.0,,,
직업능력(센터·지역),직업능력개발 훈련비용 부정수급 처분대상 사망관련,2014-02-07 13:09:40.0,[답변] 직업능력개발 훈련비용 부정수급 처분대상 사망관련,2014-02-10 11:13:26.0,,,
