분야,질문명,등록일,답변제목,답변등록일,댓글등록일,댓글등록자,댓글내용
신고사건(감독),4인->5인이상으로 변경된 사업장의 연차발생일수 관련 질의,2010-07-27 15:36:29.0, [답변] 4인->5인이상으로 변경된 사업장의 연차발생일수 관련 질의,2010-07-28 11:32:08.0,,,
신고사건(감독),퇴직연금 가입자에 대한 체당금(퇴직금부분)지급 여부,2010-07-28 09:51:28.0,[답변] 퇴직연금 가입자에 대한 체당금(퇴직금부분)지급 여부,2010-08-18 11:02:20.0,,,
신고사건(감독),퇴직연금 가입 사업장의 체당금 지급방법,2010-08-03 16:52:07.0,[답변] 퇴직연금 가입 사업장의 체당금 지급방법,2010-08-04 13:32:21.0,,,
신고사건(감독),계속근로 인정여부가 궁금합니,2010-08-10 18:14:57.0,  [답변] 계속근로 인정여부가 궁금합니,2010-08-11 15:11:13.0,,,
신고사건(감독),"상시 5인 이상,미만시 퇴직금 산정에 대한 질의",2010-08-13 08:32:08.0,"  [답변] 상시 5인 이상,미만시 퇴직금 산정에 대한 질의",2010-08-16 14:48:06.0,,,
신고사건(감독),"근기법 44조의2 관련 "" 건설업자 "" 란?",2010-08-26 18:39:30.0,"[답변] 근기법 44조의2 관련 "" 건설업자 "" 란?",2010-09-02 12:03:09.0,,,
신고사건(감독),근기법 제44조의 2 관련,2010-08-31 11:54:28.0,[답변] 근기법 제44조의 2 관련,2010-09-01 16:45:50.0,,,
신고사건(감독),월통상임금산정기준시간은,2010-09-03 09:11:33.0,  [답변] 월통상임금산정기준시간은,2010-09-03 17:20:16.0,,,
신고사건(감독),4대보험 소급신고 및 임금상계 관련,2010-09-11 14:27:15.0,   [답변] 4대보험 소급신고 및 임금상계 관련,2010-09-14 11:47:40.0,,,
신고사건(감독),지도점검 이후 근로자전원이 퇴사하였을 경우,2010-09-15 13:34:51.0, [답변] 지도점검 이후 근로자전원이 퇴사하였을 경우,2010-09-16 10:45:02.0,,,
신고사건(감독),믹서트럭 운반용역 계약을 한자의 퇴직금 청구 사건,2010-09-15 19:47:48.0,[답변] 믹서트럭 운반용역 계약을 한자의 퇴직금 청구 사건,2010-09-16 11:36:36.0,,,
사업장감독(감독),휴게시간 근로에 대한 임금 청구 관련 질의,2010-09-29 16:52:25.0,      [답변] 휴게시간 근로에 대한 임금 청구 관련 질의,2010-10-01 12:40:17.0,,,
신고사건(감독),연소자 증명서,2010-10-04 15:58:31.0,[답변] 연소자 증명서,2010-10-05 10:26:03.0,,,
신고사건(감독),사업주 변경에 따른 책임 문의,2010-10-04 16:28:17.0,[답변] 사업주 변경에 따른 책임 문의,2010-10-05 11:59:13.0,,,
신고사건(감독),법원공탁으로 시정명령을 이행하였다고 볼수 있는지 여부,2010-10-04 19:31:55.0,[답변] 법원공탁으로 시정명령을 이행하였다고 볼수 있는지 여부,2010-10-05 10:55:33.0,,,
신고사건(감독),법원공탁으로 시정명령을 이행하였다고 볼수 있는지 여부,2010-10-04 19:31:55.0,[답변] 법원공탁으로 시정명령을 이행하였다고 볼수 있는지 여부,2012-07-27 12:01:44.0,,,
신고사건(감독),상여금 지급책임 등에 관한 질의,2010-10-11 12:45:33.0,  [답변] 상여금 지급책임 등에 관한 질의,2010-10-12 14:52:35.0,,,
신고사건(감독),퇴직금중간정산금의 소멸시효 기산일에 대한 의견,2010-10-19 09:50:02.0,      [답변] 퇴직금중간정산금의 소멸시효 기산일에 대한 의견,2010-10-21 16:41:23.0,,,
신고사건(감독),부제소 특약의 효력 인정 여부,2010-10-27 20:45:59.0,    [답변] 부제소 특약의 효력 인정 여부,2010-10-28 15:55:28.0,,,
신고사건(감독),중간정산 퇴직금 산출관련,2010-10-29 13:11:27.0,  [답변] 중간정산 퇴직금 산출관련,2010-11-01 15:27:54.0,,,
신고사건(감독),해고예고 기간 중 퇴직에 관하여 문의드립니다.,2010-11-01 11:12:27.0, [답변] 해고예고 기간 중 퇴직에 관하여 문의드립니다.,2010-11-01 15:48:38.0,,,
신고사건(감독),공소시효와 소멸시효의 관계,2010-11-01 13:24:56.0,      [답변] 공소시효와 소멸시효의 관계,2010-11-01 16:07:09.0,,,
신고사건(감독),평균임금 계산 포함 여부,2010-11-02 17:48:43.0,          [답변] 평균임금 계산 포함 여부,2010-11-03 10:30:19.0,,,
신고사건(감독),퇴직 근로자의 임금채권 소멸시효 기산일이 왜 퇴직일 기준인가요?,2010-11-03 17:43:42.0,  [답변] 퇴직 근로자의 임금채권 소멸시효 기산일이 왜 퇴직일 기준인가요?,2010-11-08 11:29:41.0,,,
신고사건(감독),사납금만 납부한 택시기사의 평균임금과 퇴직금은?,2010-11-04 16:39:37.0,[답변] 사납금만 납부한 택시기사의 평균임금과 퇴직금은?,2010-11-05 10:13:27.0,,,
신고사건(감독),해고예고수당 관련 질의,2010-11-08 16:15:13.0, [답변] 해고예고수당 관련 질의,2010-11-09 16:10:39.0,,,
신고사건(감독),"임금수령권한 위임, 대리등의 법률행위 유효여부",2010-11-11 15:10:32.0,"[답변] 임금수령권한 위임, 대리등의 법률행위 유효여부",2010-11-12 14:21:52.0,,,
신고사건(감독),동일법인의 체당금 2번 지급 가능여부,2010-11-18 21:37:24.0, [답변] 동일법인의 체당금 2번 지급 가능여부,2010-11-22 17:36:44.0,,,
신고사건(감독),아파트 관리형태 변경시 소속근로자에 대한 고용승계여부,2010-11-23 13:04:01.0,[답변] 아파트 관리형태 변경시 소속근로자에 대한 고용승계여부,2010-11-25 10:12:01.0,,,
신고사건(감독),상시근로자 판단에 대한 질의,2010-11-30 11:46:50.0,,,,,
사업장감독(감독),아파트경비원의 임금 및 수당 계산,2010-12-02 13:07:58.0,,,,,
신고사건(감독),신고사건 관할판단 지침 관련,2010-12-06 11:33:02.0,,,,,
신고사건(감독),폭행사건의 사용자 책임에 대하여,2010-12-14 13:45:13.0,[답변] 폭행사건의 사용자 책임에 대하여,2010-12-15 11:00:44.0,,,
신고사건(감독),퇴직금을 근로자가 아닌 제3자에게 지급하기로 한 경우,2010-12-17 16:40:06.0,[답변] 퇴직금을 근로자가 아닌 제3자에게 지급하기로 한 경우,2010-12-20 15:55:45.0,,,
신고사건(감독),기간제근로자 고용에 관한 질문입니다. ,2010-12-20 15:40:48.0,[답변] 기간제근로자 고용에 관한 질문입니다. ,2011-01-25 16:00:24.0,,,
신고사건(감독),건축주의 사용자성,2010-12-22 09:57:53.0, [답변] 건축주의 사용자성,2010-12-23 11:34:54.0,,,
신고사건(감독),임금 일할계산 방법 질문입니다,2010-12-31 15:51:51.0,  [답변] 임금 일할계산 방법 질문입니다,2011-01-03 15:20:57.0,,,
신고사건(감독),해고 관련하여 문의드립니다.,2011-01-06 16:49:26.0, [답변] 해고 관련하여 문의드립니다.,2011-01-07 11:31:21.0,,,
신고사건(감독),외국계 회사 직원의 근로기준법 적용 관련,2011-01-14 17:58:15.0, [답변] 외국계 회사 직원의 근로기준법 적용 관련,2011-01-18 09:09:01.0,,,
신고사건(감독),퇴직금 지급 책임 사업주 문의,2011-01-15 09:52:24.0, [답변] 퇴직금 지급 책임 사업주 문의,2011-01-17 14:30:57.0,,,
신고사건(감독),신고사건 관할지침 관련 문의,2011-01-17 09:18:44.0,,,,,
신고사건(감독),실비변상적 금품의 36조 적용여부,2011-01-17 20:05:31.0, [답변] 실비변상적 금품의 36조 적용여부,2011-01-19 10:55:16.0,,,
사업장감독(감독),근로기준법 제56조(연장·야간 및 휴일 근로)에 관련하여,2011-02-11 10:42:34.0,,,,,
신고사건(감독),체불임금으로 주식지급에 대하여,2011-02-11 15:27:31.0,      [답변] 체불임금으로 주식지급에 대하여,2011-02-14 10:34:41.0,,,
신고사건(감독),화물운전기사의 하루,2011-02-16 21:19:02.0, [답변] 화물운전기사의 하루,2011-02-21 13:59:38.0,,,
신고사건(감독),감시적근로자종사 승인여부,2011-02-17 16:19:00.0,   [답변] 감시적근로자종사 승인여부,2011-02-21 16:21:55.0,,,
신고사건(감독),산재요양기간 종료 후 복직 등에 대한 질의,2011-02-17 18:07:12.0,[답변] 산재요양기간 종료 후 복직 등에 대한 질의,2011-02-21 17:57:30.0,,,
신고사건(감독),임금관련 문의,2011-03-02 11:03:03.0,   [답변] 임금관련 문의,2011-03-04 13:27:46.0,,,
신고사건(감독),감시감독적 근로종사자 승인관련,2011-03-03 15:45:06.0,[답변] 감시감독적 근로종사자 승인관련,2011-03-04 13:44:57.0,,,
신고사건(감독),5인 미만 사업장의 퇴직금,2011-03-03 20:34:18.0,[답변] 5인 미만 사업장의 퇴직금,2011-03-07 10:57:48.0,,,
신고사건(감독),부당해고로 복직한 근로자에 대한 취업규칙 적용,2011-03-08 19:16:53.0,  [답변] 부당해고로 복직한 근로자에 대한 취업규칙 적용,2011-03-11 09:52:03.0,,,
신고사건(감독),재직 근로자의 퇴직금 중간정산에 대한 진정,2011-03-18 13:32:51.0,,,,,
신고사건(감독),연차수당 관련하여 문의드립니다.,2011-03-28 20:39:58.0,[답변] 연차수당 관련하여 문의드립니다.,2011-03-28 20:42:38.0,,,
신고사건(감독),연차수당 관련하여 문의드립니다.,2011-03-28 20:39:58.0,[답변] 연차수당 관련하여 문의드립니다.,2011-03-28 20:57:19.0,,,
신고사건(감독),연차수당 관련하여 질의드립니다.,2011-03-28 20:58:55.0,[답변] 연차수당 관련하여 질의드립니다.,2011-03-30 17:26:58.0,,,
신고사건(감독),외국인 근로자의 계속근로,2011-03-30 16:17:07.0,[답변] 외국인 근로자의 계속근로,2011-03-31 10:33:45.0,,,
신고사건(감독),응급실 의사의 연차미사용수당,2011-03-30 19:49:25.0,  [답변] 응급실 의사의 연차미사용수당,2011-03-31 11:05:06.0,,,
신고사건(감독),최저임금 관련 질의,2011-04-11 15:06:52.0, [답변] 최저임금 관련 질의,2011-04-12 14:15:58.0,,,
신고사건(감독),상여금 지급일 이전에 퇴직한 경우 상여금 지급여부에 대해,2011-04-13 11:25:35.0,[답변] 상여금 지급일 이전에 퇴직한 경우 상여금 지급여부에 대해,2011-04-14 11:30:20.0,,,
신고사건(감독),감단승인 근로자의 연차휴가산정 관련,2011-04-15 14:02:50.0,,,,,
신고사건(감독),해고예고수당 관련,2011-04-26 16:21:44.0,[답변] 해고예고수당 관련,2011-04-27 14:01:11.0,,,
신고사건(감독),미성년자 근로관련,2011-05-02 10:45:41.0,[답변] 미성년자 근로관련,2011-05-02 10:56:53.0,,,
신고사건(감독),미성년자 고용관련,2011-05-02 13:40:06.0,   [답변] 미성년자 고용관련,2011-05-03 16:31:01.0,,,
신고사건(감독),임금삭감에 대한 근로자 동의여부는 어떻게 판단할까요.,2011-06-10 18:41:44.0,[답변] 임금삭감에 대한 근로자 동의여부는 어떻게 판단할까요.,2011-06-13 14:33:22.0,,,
신고사건(감독),도산 등 사실확인 조사시 노무사의 대리권 인정범위,2011-06-22 15:51:05.0,[답변] 도산 등 사실확인 조사시 노무사의 대리권 인정범위,2011-06-22 18:17:47.0,,,
신고사건(감독),2010.12.1. 퇴직금 적용대상 확대 관련 질의,2011-07-11 14:20:16.0, [답변] 2010.12.1. 퇴직금 적용대상 확대 관련 질의,2011-07-12 11:32:44.0,,,
신고사건(감독),일용근로자 평균임금 관련 문의입니다.,2011-07-20 13:23:18.0,  [답변] 일용근로자 평균임금 관련 문의입니다.,2011-07-20 16:44:46.0,,,
신고사건(감독),근로자퇴직급여보장법 시행령 개정 설명자료 및 업무지침 시달,2011-07-30 17:28:55.0,,,,,
신고사건(감독),폐업한 사업장(법인)에 과태료 부과 가능한지 궁금합니다.,2011-08-01 11:59:39.0,[답변] 폐업한 사업장(법인)에 과태료 부과 가능한지 궁금합니다.,2011-08-01 16:57:37.0,,,
신고사건(감독),취업규칙상 정년을 지나 계속 근로한 경우 퇴직금 산정은,2011-08-03 13:08:38.0,[답변] 취업규칙상 정년을 지나 계속 근로한 경우 퇴직금 산정은,2011-08-03 17:26:26.0,,,
신고사건(감독),산재요양관련사건처리,2011-08-04 16:51:35.0,[답변] 산재요양관련사건처리,2011-08-05 16:29:44.0,,,
신고사건(감독),근기법 제40조(취업방해의 금지)해석,2011-08-05 16:54:21.0,[답변] 근기법 제40조(취업방해의 금지)해석,2011-08-08 11:01:45.0,,,
