분야,질문명,등록일,답변제목,답변등록일,댓글등록일,댓글등록자,댓글내용
산재예방(산재),재해에방 전문지도기관 지정 관련 질의,2016-12-05 17:55:34.0, [답변] 재해에방 전문지도기관 지정 관련 질의,2016-12-07 15:47:37.0,,,
산재예방(산재),산업안전보건법상제34조4 고의성 문제여부,2016-12-09 12:16:45.0, [답변] 산업안전보건법상제34조4 고의성 문제여부,2016-12-09 13:27:43.0,,,
산재예방(산재),해상 작업에 대한 산업안전보건법 적용 범위에 대해 궁금합니다.,2016-12-09 15:04:05.0,[답변] 해상 작업에 대한 산업안전보건법 적용 범위에 대해 궁금합니다.,2016-12-12 15:13:05.0,,,
산재예방(산재),도급사업의 안전관리자 선임 관련 질의,2016-12-12 09:17:29.0,[답변] 도급사업의 안전관리자 선임 관련 질의,2016-12-12 16:39:54.0,,,
산재예방(산재),(산업안전보건법) 밀폐공간 질의,2016-12-19 14:06:22.0, [답변] (산업안전보건법) 밀폐공간 질의,2016-12-20 14:02:25.0,,,
산재예방(산재),산업안전보건법 제47조 관련 질의,2016-12-20 19:55:44.0,[답변] 산업안전보건법 제47조 관련 질의,2016-12-22 16:32:59.0,,,
산재예방(산재),재외공관 행정직원의 건강진단 실시 의무,2017-03-15 10:04:43.0, [답변] 재외공관 행정직원의 건강진단 실시 의무,2017-03-15 13:51:45.0,,,
산재예방(산재),차량계하역운반기계인 화물차 지입차주에 의해 원청 직원이 사망한 경우 ,2017-03-31 09:58:20.0,[답변] 차량계하역운반기계인 화물차 지입차주에 의해 원청 직원이 사망한 경우 ,2017-03-31 17:04:32.0,,,
산재예방(산재),산업안전보건법 위반으로 신고한후 취하를 했을 때 종결이 가능한가요,2017-04-12 16:48:04.0,  [답변] 산업안전보건법 위반으로 신고한후 취하를 했을 때 종결이 가능한가요,2017-04-13 13:28:07.0,,,
산재예방(산재),하도급 개념으로 볼 수 있는 지 여부,2017-04-17 15:10:27.0,[답변] 하도급 개념으로 볼 수 있는 지 여부,2017-04-18 10:49:33.0,,,
산재예방(산재),산업안전보건법 시행규칙 제2조1항3호 해석문제,2017-05-31 13:55:39.0,[답변] 산업안전보건법 시행규칙 제2조1항3호 해석문제,2017-06-01 09:26:41.0,,,
산재예방(산재),법 29조 도급사업주 여부에 대한 질의,2017-07-06 10:16:54.0,[답변] 법 29조 도급사업주 여부에 대한 질의,2017-07-06 14:00:45.0,,,
산재예방(산재),산업안전보건기준에관한규칙 문의(제250조와제32조1항7의 연관관계),2017-09-22 10:45:37.0,  [답변] 산업안전보건기준에관한규칙 문의(제250조와제32조1항7의 연관관계),2017-09-22 15:46:57.0,,,
산재예방(산재),산업재해조사표 대상여부 ,2017-11-27 16:07:34.0,  [답변] 산업재해조사표 대상여부 ,2017-11-27 17:53:32.0,2022-05-13 15:55:13.0,,"이렇게 의견이 다르면..@!@  본부에서 명확하게 판단을 해주셔야 하는 거 아닐까요..? ㅠㅠ
"
산재예방(산재),산업재해조사표 대상여부 ,2017-11-27 16:07:34.0,  [답변] 산업재해조사표 대상여부 ,2017-11-27 17:53:32.0,2021-12-31 17:47:30.0,,"저는 생각이 다릅니다. 의사 진단서 상 최초 소견은 5주간의 치료 및 관찰이 요구되는 진단으로 이는 5주간의 요양이 필요한 것으로 이전 산업재해조사표 제출 대상인 4일 이상의 요양에는 해당할 수 있으나, 실질적으로 일을 하지 못하는 휴업과는 다르다고 판단되며,
산업안전보건법에서도 산업재해조사표 제출 대상을 3일 이상이 '휴업'이 필요한 것을 명확히 명시한 것은 근로자의 실제 출근을 기준으로 파악하고자 하는 의도로 생각됩니다. 
그래서 저는 근로자가 재해 발생 당일을 제외하고 2일을 쉬었다면 산업재해조사표 제출 대상이 아니라고 생각합니다.
"
산재예방(산재),산업안전보건법 적용 여부,2018-06-20 18:13:45.0,답,2018-06-21 14:35:44.0,,,
산재예방(산재),건설공사 현장 작업중지를 실시할수 있는지 문의 드림,2018-09-21 16:18:23.0,해결 방안,2018-09-27 10:59:25.0,,,
산재예방(산재),건설현장 작업발판 설치 관련 질의,2018-11-27 12:58:51.0,해결 방안,2018-11-28 16:40:52.0,,,
산재예방(산재),감염성 질환 예방을 위한 열화상 카메라 구입시 산업안전보건관리비 사용 가능 여부 질의,2019-02-12 11:50:10.0,해결 방안,2019-02-14 11:33:05.0,,,
산재예방(산재),산업재해조사표상 재해자의 서명란을 사업주가 임의로 서명하여 제출한 경우 처리 방법,2019-05-07 09:20:37.0,해결 방안,2019-05-08 17:17:53.0,,,
산재예방(산재),"산재미보고 조사(119, 부당이득금) 중 추가로 미보고 산재를 인지한 경우 시행규칙 제4조제2항 적용방법",2019-05-26 16:53:49.0,해결 방안,2019-05-28 10:46:25.0,,,
산재예방(산재),보건관리자 선임 방법에 대하여 질문 드립니다.,2019-06-12 12:23:54.0,해결 방안,2019-06-13 16:29:06.0,,,
산재예방(산재),안전보건관리담당자 관련 문의,2019-08-05 13:41:25.0,해결 방안,2019-08-08 14:53:23.0,2021-04-26 08:58:59.0,,"산업안전보건법의 의무 이행주체는 사업주인 관계로,
A와 B가 법인인 경우, 사업주가 다르기에 각각 선임하여야 할 것이며,
A와 B가 개인사업주라면(A는 법인, B는 개인사업주인 경우 포함) 실제 행위주체가 같기에 A가 안전관리자를 선임하였기에 B는 안전관리담당자를 선임하지 않을수 있지만 이경우에도 B의 안전관리를 A가 하여야 한다는 전제가 있어야 할 것입니다 "
산재예방(산재),산업안전보건법 위반으로 고발한후 일부 고발요지에서 제외 했을 때 수사 여부,2019-08-19 15:56:08.0,해결 방안,2019-08-20 16:02:24.0,,,
산재예방(산재),산업안전보건법상 유해요인 조사 주체,2019-08-27 17:57:55.0,해결 방안,2019-08-28 16:17:03.0,,,
산재예방(산재),공무원에 대하여 산업안전보건법상 특수건강진단 적용,2019-10-10 11:32:13.0,근로기준법상 근로자와 사용자의 개념에 해당되어 합니다.,2019-10-10 12:36:35.0,,,
산재예방(산재),"산업안전보건법 제29조1항 2호의 ""전문분야의 공사""해석",2020-01-07 18:04:20.0,산업안전보건법 개정으로 의미가 없어졌네요.,2021-10-20 22:06:09.0,,,
산재예방(산재),산업재해 보고 의무 관련입니다.,2020-04-22 14:16:57.0,의견,2020-04-22 15:31:46.0,,,
산재예방(산재),산업재해조사표 미제출로 과태로 부과 대상인지 여부?,2020-09-15 07:57:20.0,의견,2020-09-17 09:49:48.0,,,
산재예방(산재),"안전, 보건 관리자 본인이 안전, 보건 관리자 선임 보고서를 요청시에 발급해줘도 되는지",2020-10-07 11:14:50.0,의견,2020-10-08 10:02:50.0,,,
산재예방(산재),안전관리자 경력 확인 방법이 있을까요?,2021-03-04 09:57:34.0,근무회사 또는 건설인기술협회의 경력증명서를 활용,2021-04-26 09:04:19.0,,,
산재예방(산재),산업재해조사표 제출 기한 문의,2022-03-17 17:27:45.0,제 생각엔 3.14이 합당한 것으로 판단됨,2022-03-18 10:00:04.0,2022-04-10 10:18:59.0,,"산업재해조사표 제출기간에 초일은 산입하지 않습니다. 따라서 3.15.까지 제출하면 될 것으로 보입니다.

민법 제157조(기간의 기산점) 기간을 일, 주, 월 또는 연으로 정한 때에는 기간의 초일은 산입하지 아니한다. 그러나 그 기간이 오전 영시로부터 시작하는 때에는 그러하지 아니하다. 

민원사무처리에관한 법률의 처리기간은 산업재해조사표가 접수되어 공무원이 처리하는 기간을 말합니다."
산재예방(산재),"안전보건관리책임자, 도급 시 안전보건총괄책임자 관련 문의",2022-03-17 17:58:56.0,,,,,
산재예방(산재),산업재해조사표 하단에 근로자대표(재해자) 서명,2022-05-13 15:07:11.0,근로자대표(재해자) 서명,2022-07-12 11:30:50.0,,,
산재예방(산재),노조위원장을 명예산업안전감독관 위촉가능 여부,2022-07-12 16:41:32.0,,,,,
산재예방(산재),사업주 귀책으로 근로자 퇴사로 특검 미실시한 경우,2022-07-12 18:29:25.0,,,,,
산재예방(산재),특수건강진단 시기 및 주기에 대한 기산일,2022-07-12 19:00:03.0,,,,,
산안,산업안전보건법상 상시근로자수 산정방법,2022-07-19 12:31:26.0,,,,,
산안,건설업 본사 휴게시설 설치 기준,2022-08-22 15:09:58.0,의견,2022-08-23 00:19:03.0,2022-08-25 15:42:36.0,,답변 고맙습니다 ~
산안,산업재해조사표 지연 제출에 따른 과태료 부과 문의,2022-08-25 11:06:26.0,,,,,
산안,석면해체제거작업 업자와 석면폐기물 처리업자가 동일해도 되나요.,2023-01-04 17:41:41.0,,,,,
산재예방(산재),고용보험 업종코드에 따른 안전보건관리체제(제2장) 적용 여부 판단('23.1.기준),2023-02-06 17:35:13.0,,,,,
산재예방(산재),산업재해조사표 관련,2023-02-21 10:41:21.0,,,,,
산재예방(산재),산재조사표 제출대상 여부,2023-07-12 10:37:33.0,노무를 제공받는 자는 산업재해조사표 제출 의무가 없습니다.,2023-09-27 15:46:52.0,,,
산안,임금 여부에 해당하는지 판단방법,2024-10-05 10:51:36.0,의견,2024-10-05 17:00:32.0,,,
산안,현장소장이 사건당일 연차로 부재인경우 산업안전법 입건 당사자,2024-10-30 20:19:29.0,구체적인 사실관계를 좀 더 따져봐야 하겠으나 사안에 따라 공범도 가능합니다.,2024-10-31 11:19:22.0,,,
