분야,질문명,등록일,답변제목,답변등록일,댓글등록일,댓글등록자,댓글내용
운영지원(관리·지역),당직근무명령 문서 기안 시 수신지정에 고용관리과를 포함시켜야 하는지 여부,2018-07-24 11:55:09.0,답,2018-07-24 13:46:00.0,,,
운영지원(관리·지역),무기계약근로자 출산휴가 분할 사용으로 인한 사업주 부담 출산휴가기간(60일) 급여 산정 기준 문의,2018-08-20 15:03:49.0,,,,,
국제협력(지역),외국인 고용허가제한 처분,2018-08-22 13:58:55.0,해결 방안,2018-08-23 09:08:49.0,,,
국제협력(지역),외국인근로자의 사회복지서비스업 고용 관련,2018-11-27 11:46:31.0,,,,,
운영지원(관리·지역),전대결과 대결의 차이,2019-03-15 13:47:11.0,(답변) 전대결과 대결의 차이,2019-03-15 14:22:45.0,,,
국제협력(지역),(급합니다)사업장 이탈 외국인의 사업장 변경 및 원직복직 가능여부,2019-06-28 07:43:51.0,해결 방안,2019-07-04 10:07:51.0,,,
운영지원(관리·지역),과태료 납부금액 및 과태료 납부일자에 대한 정보공개 청구관련,2020-03-02 17:55:10.0,의견,2020-03-03 10:23:30.0,,,
국제협력(지역),사업장 양도양수 후 성실근로자 입국,2020-03-19 10:41:36.0,의견,2020-03-19 13:33:25.0,,,
운영지원(관리·지역),"정보공개 청구, 사업장 소재지 변경으로 인한 관할 문의",2023-05-31 08:14:27.0,정보를 보유한 기관에서 처리하기 때문에 신고당시 시점의 사업장 관할에서 처리하는 것이 맞습니다.,2023-05-31 14:07:20.0,,,
공통,"범죄경력자료 및 수사경력자료,  전 과 및 검찰처분 작성방법문의",2023-10-13 09:12:45.0,의견,2023-10-13 09:18:58.0,2023-10-31 16:33:18.0,,"ㅇ 먼저 답변을 주셨던 분이나 댓글에 기재한 분 모두 합리적인 방법을 적용하고 계신다고 생각됩니다.
다만 저는 노동관계법 위반이 있을 경우 노동관계법위반이 마지막 처분이 아니더라도 ""(예시)2020.02.10. 근로기준법위반 벌금 처분 외 몇 건의 전과기록 있음""이라고 기재하여 노동관계법 위반을 부각시키고 있습니다.

ㅇ 또한 지금까지 여러 송치사건을 검찰로 보냈지만 <범죄경력조회 작성 내용, 수사경력사항 작성 누락 등에 대한 지적은 없었습니다.>
  - 왜냐하면 검찰의 경우 검사 및 검찰수사관이 조회시스템을 통하여 검사실에서 바로 확인할 수 있기 때문입니다."
공통,"범죄경력자료 및 수사경력자료,  전 과 및 검찰처분 작성방법문의",2023-10-13 09:12:45.0,의견,2023-10-13 09:18:58.0,2023-10-26 09:17:53.0,,"저는 의견서에 범죄경력을 기록할 때 
법원에서 확정된 범죄, 검찰청에서 종결된 처분, 재판중인 사건, 수사중인 사건을 구분하여 기록합니다. "
공통,퇴직 근로자가 재직당시 수령하였던 급여명세서 중 일부를 분실하여 노동청에 공개를 요청,2023-10-16 13:35:53.0,,,,,
공통,퇴직연금규약 변경신고 관련 (동거하는 친족),2023-10-16 14:30:23.0,근퇴법 제3조에 해당하는 사항으로 서류 반려하는 것이 맞습니다.,2023-10-24 08:48:48.0,,,
공통,진정사건 관련 사건 진행 중 진정서 공개 가능 여부,2023-10-16 15:46:54.0,관련 답변드립니다.,2023-10-17 00:55:12.0,,,
공통,진정사건 관련 사건 진행 중 진정서 공개 가능 여부,2023-10-16 15:46:54.0,의견,2023-10-19 09:22:35.0,,,
국제협력(지역),법인대상 정보공개청구건,2024-05-09 11:22:24.0,정보공개법 제9조 제1항 제7호,2024-05-09 14:19:50.0,,,
